pdf_name,Continent,background,humans,nature,language,photo,busy,logo,graphic,Name,Size,Sector,Country,Country Status,Region,Date Added,Title,Publication Year,Type,Report Pdf Address,Report Html Address,Adherence Level,Status,Application Level,Sector Supplements (Final),GRI Content Index URL,Integrated,Organization type,Listed/Non-listed,OECD,UNGC,CDP,IFC,ISO,External Assurance,Type of Assurance Provider,Assurance Provider,Stakeholder Panel/ Expert Opinion,Assurance Scope,Level of Assurance,Assurance Standard: AA1000 AS,Assurance Stanadard: ISAE3000,Assurance Standard: national (general),Assurance Standard: national (sustainability),Materiality Matters Check,GRI Service,Featured Report?,OS,GOLD Community,SDGs
BlueLabelTelecoms_2015.pdf,Africa,white,0,FALSE,English,FALSE,Very Busy,TRUE,TRUE,Blue Label Telecoms,Large,Telecommunications,South Africa,DAC-UMICT,Africa,14-12-2015,Integrated Annual Report 2015,2015,GRI - G3,http://www.bluelabeltelecoms.co.za/online_reports/ar2015/pdf/full.pdf,http://www.bluelabeltelecoms.co.za/online_reports/ar2015/pdf/full.pdf,Undeclared,NA,NA,Not Applicable,NA,Yes,Private company,Listed,No,No,No,No,No,Yes,Accountant,PricewaterhouseCoopers,No,Not specified,Combination,No,No,No,No,NA,NA,No,No,NA,NA
BlueLabelTelecoms_2016.pdf,Africa,blue,1,FALSE,English,TRUE,Very Busy,TRUE,TRUE,Blue Label Telecoms,Large,Telecommunications,South Africa,DAC-UMICT,Africa,7-12-2016,Integrated Annual Report 2016,2016,Citing-GRI,http://www.bluelabeltelecoms.co.za/online_reports/ar2016/pdf/full.pdf,http://www.bluelabeltelecoms.co.za/online_reports/ar2016/pdf/full.pdf,NA,NA,NA,NA,NA,NA,Private company,Listed,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,No,NA,No,NA
BlueLabelTelecoms_2017.pdf,Africa,white,7,FALSE,English,TRUE,Very Busy,TRUE,FALSE,Blue Label Telecoms,Large,Telecommunications,South Africa,DAC-UMICT,Africa,18-12-2017,Integrated annual report 2017,2017,Citing-GRI,https://www.bluelabeltelecoms.co.za/online_reports/ar2017/pdf/full.pdf,https://www.bluelabeltelecoms.co.za/online_reports/ar2017/pdf/full.pdf,NA,NA,NA,NA,NA,NA,Private company,Listed,NA,NA,NA,NA,NA,Yes,Accountant,PricewaterhouseCoopers,Yes,Specified section(s),Combination,No,No,No,No,NA,NA,No,NA,No,NA
BotswanaTelecommunicationsCorporationLimited(BTCL)_2017.pdf,Africa,blue,1,FALSE,English,TRUE,Somewhat Busy,TRUE,TRUE,Botswana Telecommunications Corporation Limited (BTCL),Large,Telecommunications,Botswana,DAC-UMICT,Africa,24-7-2017,Annual Report 2016,2017,Non - GRI,http://www.btcl.co.bw/docs/BTCL%20Annual%20Report%20-%2031%20March%202016.pdf,NA,NA,NA,NA,NA,NA,NA,Private company,Listed,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,No,NA,No,NA
BTGroup_2014.pdf,Europe,white,0,FALSE,English,FALSE,Not Busy,TRUE,FALSE,BT Group,Large,Telecommunications,United Kingdom of Great Britain and Northern Ireland,OECD,Europe,24-6-2014,Better Future Report 2014,2014,GRI - G3.1,http://www.btplc.com/betterfuture/betterfuturereport/pdf/2014/Better_Future_report2014-complete_report.pdf,http://www.btplc.com/betterfuture/betterfuturereport/report/about.aspx,A+,Third-party-checked,NA,Not Applicable,NA,No,Private company,Listed,No,Yes,No,No,Yes,Yes,Small consultancy/ boutique firm,Other,No,Entire sustainability report,Reasonable/ High,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA
BTGroup_2016.pdf,Europe,blue,1,FALSE,English,TRUE,Somewhat Busy,TRUE,FALSE,BT Group,Large,Telecommunications,United Kingdom of Great Britain and Northern Ireland,OECD,Europe,30-5-2016,Delivering our purpose,2016,GRI - G4,http://www.btplc.com/Purposefulbusiness/Deliveringourpurpose/Downloads/2016/2016_BTDeliveringOurPurposeReport.pdf,http://www.btplc.com/Purposefulbusiness/Deliveringourpurpose/index.htm,Undeclared,NA,NA,Not Applicable,NA,No,Private company,Listed,No,Yes,Yes,No,Yes,Yes,Accountant,Lloyds,No,Specified section(s),Reasonable/ High,Yes,No,No,No,NA,NA,No,NA,No,Yes
Cable_WirelessCommunications_2012.pdf,Europe,white,0,FALSE,English,FALSE,Somewhat Busy,TRUE,TRUE,Cable & Wireless Communications,Large,Telecommunications,United Kingdom of Great Britain and Northern Ireland,OECD,Europe,29-6-2016,Annual report 2011/12,2012,Non - GRI,http://www.cwc.com/assets/uploads/files/CoSec/2012/Annual%20Report%202011-12.pdf,NA,NA,NA,NA,NA,NA,NA,Subsidiary,Non-listed,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,NA
Cable_WirelessCommunications_2013.pdf,Europe,white,0,FALSE,English,FALSE,Somewhat Busy,TRUE,FALSE,Cable & Wireless Communications,Large,Telecommunications,United Kingdom of Great Britain and Northern Ireland,OECD,Europe,29-6-2016,Annual report 2012/13,2013,Non - GRI,http://www.cwc.com/assets/uploads/files/Publications/CWC_Annual_Report_2013_interactive.pdf,NA,NA,NA,NA,NA,NA,NA,Subsidiary,Non-listed,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,NA
Cable_WirelessCommunications_2015.pdf,Europe,blue,3,FALSE,English,TRUE,Very Busy,TRUE,TRUE,Cable & Wireless Communications,Large,Telecommunications,United Kingdom of Great Britain and Northern Ireland,OECD,Europe,29-6-2016,Annual Report 2014/15,2015,Non - GRI,http://www.cwc.com/live/annual-report/downloads/Cable%20%26%20Wireless%20Annual%20Report.pdf,NA,NA,NA,NA,NA,NA,NA,Subsidiary,Non-listed,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,No,No,NA,NA
CameoCommunications,Inc._2016.pdf,Asia,green,0,TRUE,Others,FALSE,Not Busy,TRUE,TRUE,Cameo Communications, Inc.,Large,Telecommunications,Taiwan,Non-OECD / Non-DAC,Asia,17-4-2017,2015 Corporate Social Responsibility Report (Chinese Version),2016,Citing-GRI,http://www.cameo.com.tw/wp-content/uploads/2016/09/CSR%E5%9F%BA%E7%A4%8E%E5%A0%B1%E5%91%8A%E6%8F%AD%E9%9C%B2_104%E5%B9%B4%E5%BA%A6.pdf,NA,NA,NA,NA,NA,NA,No,Private company,Listed,No,No,No,No,No,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,No,NA,No,No
